dataset,norm_mode,algorithm,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,gamma
ecoli,pca_whiten,kmeans,70.1190,9.1802,60.6757,2.2238,57.6476,8.4896,N/A
ecoli,pca_whiten,diskmeans,70.1786,8.3001,61.1091,2.3713,58.3918,9.3845,1e-08
ecoli,pca_whiten,fdkm,64.9405,6.5757,61.0513,2.1901,51.8658,6.5860,1e-08
ecoli,pca_whiten,ifdkm,71.9643,6.4258,60.7400,2.3562,58.6070,8.2168,10000.0
ecoli,pca_whiten,ifdfd,72.1429,6.6165,61.2382,2.4762,58.9816,8.5876,1e-08
ecoli,l2_sample,kmeans,52.2619,3.2198,52.0793,1.3305,33.8553,1.1793,N/A
ecoli,l2_sample,diskmeans,58.9286,2.7856,55.2783,0.9660,39.9789,2.1765,1.0
ecoli,l2_sample,fdkm,59.3452,4.2865,54.0605,1.7742,39.5217,3.8793,10000.0
ecoli,l2_sample,ifdkm,56.3690,2.6990,54.4741,1.2509,37.3769,3.4291,1e-08
ecoli,l2_sample,ifdfd,59.5833,1.6667,55.2375,0.5743,40.5062,2.1631,1.0
ecoli,center_l2,kmeans,56.0714,2.8831,58.0280,1.4360,41.1273,3.1382,N/A
ecoli,center_l2,diskmeans,62.9167,6.8040,58.9827,3.3127,48.5324,6.8429,100000000.0
ecoli,center_l2,fdkm,61.0119,2.3585,58.7494,1.1804,44.5851,2.1795,10000.0
ecoli,center_l2,ifdkm,56.7857,2.6977,55.5852,1.3146,40.1914,3.2142,1.0
ecoli,center_l2,ifdfd,57.5000,3.8456,56.7847,0.6159,42.2022,2.4465,1.0
ecoli,frobenius,kmeans,58.7500,3.8049,61.5518,1.1060,45.8568,4.4305,N/A
ecoli,frobenius,diskmeans,66.0119,6.9808,61.1633,1.5831,53.0664,11.7203,0.01
ecoli,frobenius,fdkm,64.8810,3.9078,60.8418,0.0896,49.9753,2.3241,0.0001
ecoli,frobenius,ifdkm,66.3690,4.3293,59.9003,1.0312,51.8803,4.6356,1e-08
ecoli,frobenius,ifdfd,66.1310,4.5930,61.0006,0.4068,52.6000,5.4045,1e-08
ecoli,robust,kmeans,52.7381,3.7382,54.8647,1.2947,38.1111,5.0760,N/A
ecoli,robust,diskmeans,68.5119,9.2356,61.8707,1.5987,56.3821,10.1822,1e-08
ecoli,robust,fdkm,66.3095,6.9401,61.4938,1.2479,52.5933,7.6877,1e-08
ecoli,robust,ifdkm,70.7738,8.4083,61.7143,1.2692,58.9501,9.6192,1e-08
ecoli,robust,ifdfd,71.1905,9.2318,62.9031,2.2816,60.1006,10.7389,1e-08
ecoli,minmax,kmeans,61.9643,3.2077,62.0897,2.0705,46.7604,3.7077,N/A
ecoli,minmax,diskmeans,60.8929,2.7957,48.5895,1.4274,39.5109,2.7284,1.0
ecoli,minmax,fdkm,68.3929,2.0395,62.0313,1.6156,53.2421,3.4074,10000.0
ecoli,minmax,ifdkm,59.5833,3.8823,56.8737,1.5656,48.4725,2.3267,10000.0
ecoli,minmax,ifdfd,62.7976,3.0987,60.7954,1.8449,50.6413,2.3336,10000.0
ecoli,row_center,kmeans,56.0714,2.8708,56.7238,2.8493,40.4460,3.3550,N/A
ecoli,row_center,diskmeans,66.6071,4.3554,61.4039,1.5112,52.8164,7.9759,0.01
ecoli,row_center,fdkm,64.2857,0.7761,59.6473,3.7928,47.1648,2.7904,10000.0
ecoli,row_center,ifdkm,69.0476,6.2486,60.4275,1.6805,56.3951,7.6643,1e-08
ecoli,row_center,ifdfd,67.3810,7.2867,60.8685,1.5905,55.0368,8.6692,1e-08
ecoli,double_center,kmeans,56.0714,2.8708,56.7238,2.8493,40.4460,3.3550,N/A
ecoli,double_center,diskmeans,66.6071,4.3554,61.4039,1.5112,52.8164,7.9759,0.01
ecoli,double_center,fdkm,64.2857,0.7761,59.6473,3.7928,47.1648,2.7904,10000.0
ecoli,double_center,ifdkm,68.5714,6.6299,60.2730,1.7017,56.1822,7.8558,1e-08
ecoli,double_center,ifdfd,64.3452,3.8039,60.4144,0.6898,50.8745,5.4720,1e-08
ecoli,False,kmeans,58.7500,3.8049,61.5518,1.1060,45.8568,4.4305,N/A
ecoli,False,diskmeans,63.2143,1.6258,60.1631,1.4608,48.3037,1.3495,1e-08
ecoli,False,fdkm,68.3333,2.3404,62.0283,2.3010,53.0964,3.4985,10000.0
ecoli,False,ifdkm,66.3690,4.3293,59.9003,1.0312,51.8803,4.6356,1e-08
ecoli,False,ifdfd,66.1310,4.5930,61.0006,0.4068,52.6000,5.4045,1e-08
Breast_Cancer,center,kmeans,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,N/A
Breast_Cancer,center,diskmeans,85.4130,0.0000,46.4793,0.0000,49.1425,0.0000,100000000.0
Breast_Cancer,center,fdkm,91.5290,2.8929,59.9808,11.1089,69.1143,9.3626,1.0
